author,year,title,mass_g,o2_ug_per_hour,mr_mgO2_per_hour,mr_type,temperature_c,treatment,notes,species,race,n,indiv_or_mean,fish_density_per_meter_squared,data_quality
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.027269663,66.7283254,0.066728325,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.027370787,66.29262548,0.066292625,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.027252809,66.02947189,0.066029472,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028466292,62.02378032,0.06202378,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028769663,62.98742293,0.062987423,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.02897191,62.81471305,0.062814713,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028769663,65.69484651,0.065694847,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029561798,62.03441113,0.062034411,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029359551,59.06301621,0.059063016,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030050562,72.6068397,0.07260684,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030775281,62.48286803,0.062482868,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.031769663,63.71522496,0.063715225,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.033252809,68.79511964,0.06879512,routine,14,bare tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,3
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.024067416,43.11646468,0.043116465,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.024859551,44.43419525,0.044434195,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.024859551,54.82720835,0.054827208,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.025988764,58.06960731,0.058069607,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028162921,61.14747395,0.061147474,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028853933,59.75679963,0.0597568,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029174157,64.30139182,0.064301392,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029865169,67.36486597,0.067364866,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029258427,69.54238425,0.069542384,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030050562,74.61557333,0.074615573,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030269663,75.31638945,0.075316389,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030859551,68.68455915,0.068684559,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030758427,63.53073941,0.063530739,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.031162921,63.79667337,0.063796673,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.031853933,66.33613006,0.06633613,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.031955056,69.21920743,0.069219207,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032140449,67.21227287,0.067212273,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032544944,68.26423303,0.068264233,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.03394382,75.26470733,0.075264707,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.029949438,57.84603307,0.057846033,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.03055618,57.06589471,0.057065895,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030455056,55.40552475,0.055405525,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030657303,55.58215985,0.05558216,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030960674,56.10912124,0.056109121,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.028365169,49.35904355,0.049359044,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030353933,44.1381679,0.044138168,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.030657303,47.19788038,0.04719788,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032157303,50.88055869,0.050880559,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032359551,52.89125493,0.052891255,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.03205618,56.9931145,0.056993115,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032460674,56.5603585,0.056560359,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032848315,57.26281013,0.05726281,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.032764045,60.49343343,0.060493433,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
Boucher,2018,"The effect of substrate rearing on growth, aerobic scope and
physiology of larval white sturgeon Acipenser transmontanus",0.033353933,55.78300051,0.055783001,routine,14,gravel tank,"two treatments- gravel and no gravel in the tank. Gravel shown to be important, so we may want to leave out the bare tank group. Bare tanks are given DQ = 3, and maximum metabolic rate fish given DQ = 3 as well (would only want to use for an upper bound)",Acipenser transmontanus,,1,,,1
